source_id,source_file,source_row,variable_code,issue_code,severity,message,observed_value
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,27:temperature_2m,air_temperature,Q08,medium,duplicate business key,29.3
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,27:wind_speed_10m,wind_speed,Q08,medium,duplicate business key,4.14
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,27:wind_direction_10m,wind_direction,Q08,medium,duplicate business key,133
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,27:precipitation,precipitation,Q08,medium,duplicate business key,0.0
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,27:shortwave_radiation,shortwave_radiation,Q08,medium,duplicate business key,621.0
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,28:temperature_2m,air_temperature,Q08,medium,duplicate business key,29.8
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,28:wind_speed_10m,wind_speed,Q08,medium,duplicate business key,4.27
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,28:wind_direction_10m,wind_direction,Q08,medium,duplicate business key,125
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,28:precipitation,precipitation,Q08,medium,duplicate business key,0.1
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,28:shortwave_radiation,shortwave_radiation,Q08,medium,duplicate business key,771.0
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,29:temperature_2m,air_temperature,Q08,medium,duplicate business key,30.3
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,29:wind_speed_10m,wind_speed,Q08,medium,duplicate business key,4.46
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,29:wind_direction_10m,wind_direction,Q08,medium,duplicate business key,113
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,29:precipitation,precipitation,Q08,medium,duplicate business key,1.1
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,29:shortwave_radiation,shortwave_radiation,Q08,medium,duplicate business key,799.0
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,30:temperature_2m,air_temperature,Q08,medium,duplicate business key,30.4
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,30:wind_speed_10m,wind_speed,Q08,medium,duplicate business key,3.64
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,30:wind_direction_10m,wind_direction,Q08,medium,duplicate business key,108
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,30:precipitation,precipitation,Q08,medium,duplicate business key,0.4
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,30:shortwave_radiation,shortwave_radiation,Q08,medium,duplicate business key,771.0
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,31:temperature_2m,air_temperature,Q08,medium,duplicate business key,30.4
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,31:wind_speed_10m,wind_speed,Q08,medium,duplicate business key,5.64
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,31:wind_direction_10m,wind_direction,Q08,medium,duplicate business key,103
open_meteo_forecast,storage\raw\open_meteo_forecast\20260818T112053Z.json,31:precipitation,precipitation,Q08,medium,duplicate business key,0.2
