task_id,variant,target_month,actual,point_prediction,interval_p05,interval_p95,covered
T3,density,2019-05,0.2986111111111111,0.48823302469135793,0.11770833333333319,0.7996527777777775,True
T3,density,2019-05,0.75,0.48823302469135793,0.11770833333333319,0.7996527777777775,True
T3,density,2019-08,0.3194444444444444,0.7804783950617283,0.4099537037037036,1.0,False
T3,density,2019-08,0.2934027777777778,0.7804783950617283,0.4099537037037036,1.0,False
T3,density,2019-08,0.2847222222222222,0.7804783950617283,0.4099537037037036,1.0,False
T3,density,2019-08,0.3958333333333333,0.7804783950617283,0.4099537037037036,1.0,False
T3,density,2019-08,0.4079861111111111,0.7804783950617283,0.4099537037037036,1.0,False
T3,density,2019-08,0.3802083333333333,0.7804783950617283,0.4099537037037036,1.0,False
T3,density,2019-08,0.4270833333333333,0.7804783950617283,0.4099537037037036,1.0,True
T3,density,2019-08,0.265625,0.7804783950617283,0.4099537037037036,1.0,False
T3,density,2019-08,0.5850694444444444,0.7804783950617283,0.4099537037037036,1.0,True
T3,density,2019-11,0.19791666666666666,0.6361882716049383,0.26566358024691356,0.9476080246913579,False
T3,density,2019-11,0.15104166666666666,0.6361882716049383,0.26566358024691356,0.9476080246913579,False
T3,density,2019-11,0.7690972222222222,0.6361882716049383,0.26566358024691356,0.9476080246913579,True
T3,density,2019-11,0.5746527777777778,0.6361882716049383,0.26566358024691356,0.9476080246913579,True
T3,density,2019-11,0.4791666666666667,0.6361882716049383,0.26566358024691356,0.9476080246913579,True
T3,density,2019-11,0.4305555555555556,0.6361882716049383,0.26566358024691356,0.9476080246913579,True
T3,density,2019-11,0.22916666666666666,0.6361882716049383,0.26566358024691356,0.9476080246913579,False
T3,density,2019-11,0.21180555555555555,0.6361882716049383,0.26566358024691356,0.9476080246913579,False
T3,density,2019-11,0.3888888888888889,0.6361882716049383,0.26566358024691356,0.9476080246913579,True
T3,density,2020-02,0.4809027777777778,0.6826774691358025,0.3121527777777778,0.9940972222222221,True
T3,density,2020-02,0.5659722222222222,0.6826774691358025,0.3121527777777778,0.9940972222222221,True
T3,density,2020-02,0.3611111111111111,0.6826774691358025,0.3121527777777778,0.9940972222222221,True
