hybas_id,next_down,selection_reason,sub_area_km2,up_area_km2,pfaf_id,order
4080685260,4080687690,upstream_next_down_chain,97.4,4033.6,43496845,4
4080685310,4080689230,upstream_next_down_chain,2641.1,6467.2,43496870,3
4080685320,4080687690,upstream_next_down_chain,442.0,442.2,43496844,5
4080685420,4080689230,upstream_next_down_chain,1636.3,1636.3,43496860,4
4080685690,4080693050,upstream_next_down_chain,1419.7,25639.5,43494630,3
4080685700,4080684190,upstream_next_down_chain,196.4,4012.7,43427081,3
4080685780,4080693050,upstream_next_down_chain,1080.2,1080.2,43494620,4
4080685830,4080684190,upstream_next_down_chain,611.8,90992.9,43427090,2
4080685910,4080687610,upstream_next_down_chain,1819.9,1820.0,43428308,4
4080686010,4080686670,upstream_next_down_chain,200.2,4400.1,43464083,4
4080686140,4080686670,upstream_next_down_chain,538.3,538.5,43464082,5
4080686160,4080687610,upstream_next_down_chain,112.5,38439.9,43428309,3
4080686220,4080687420,upstream_next_down_chain,171.3,77527.3,43467003,2
4080686480,4080687420,upstream_next_down_chain,680.6,680.6,43467002,3
4080686490,4080690960,upstream_next_down_chain,95.2,5376.2,43464091,3
4080686670,4080690960,upstream_next_down_chain,11.5,4950.2,43464081,4
4080686950,4080684770,upstream_next_down_chain,1903.3,33629.1,43469590,2
4080686960,4080684770,upstream_next_down_chain,2117.0,2117.3,43469580,3
4080687330,4080694160,upstream_next_down_chain,1170.7,16148.8,43466010,3
4080687420,4080694160,upstream_next_down_chain,245.2,78452.9,43467001,2
4080687530,4080691180,upstream_next_down_chain,128.4,985.7,43496297,3
4080687610,4080689950,upstream_next_down_chain,221.0,40481.1,43428307,3
4080687620,4080689950,upstream_next_down_chain,893.7,893.7,43428306,4
4080687690,4080689340,upstream_next_down_chain,239.7,4715.6,43496843,4
4080687700,4080691180,upstream_next_down_chain,397.7,397.8,43496296,4
4080687970,4080689340,upstream_next_down_chain,339.1,339.1,43496842,5
4080688110,4080685700,upstream_next_down_chain,282.8,282.9,43427082,4
4080688120,4080685700,upstream_next_down_chain,58.6,3533.3,43427083,3
4080688400,4080686950,upstream_next_down_chain,1672.5,26823.3,43469710,2
4080688510,4080686950,upstream_next_down_chain,62.3,4902.5,43469601,3
4080688580,4080689350,upstream_next_down_chain,894.4,894.5,43494299,3
4080688720,4080689350,upstream_next_down_chain,650.3,650.3,43494298,4
4080688800,4080688510,upstream_next_down_chain,961.3,961.4,43469602,4
4080688870,4080686160,upstream_next_down_chain,40.2,6780.7,43428401,4
4080688880,4080688120,upstream_next_down_chain,1243.6,1243.6,43427084,4
4080688970,4080688510,upstream_next_down_chain,762.1,3878.7,43469603,3
4080689010,4080686160,upstream_next_down_chain,2409.2,31546.7,43428500,3
4080689020,4080685830,upstream_next_down_chain,2005.4,38139.9,43429100,2
4080689030,4080688120,upstream_next_down_chain,123.0,2231.0,43427085,3
4080689150,4080685830,upstream_next_down_chain,68.3,52241.1,43428100,3
4080689230,4080697050,upstream_next_down_chain,2501.5,10605.3,43496850,3
4080689340,4080697050,upstream_next_down_chain,101.9,5156.3,43496841,4
4080689350,4080689920,upstream_next_down_chain,276.6,1821.3,43494297,3
4080689440,4080689920,upstream_next_down_chain,314.7,314.7,43494296,4
4080689920,4080712460,upstream_next_down_chain,662.4,2798.6,43494295,3
4080689930,4080712460,upstream_next_down_chain,1498.7,1498.7,43494294,4
4080689950,4080690720,upstream_next_down_chain,458.5,41833.1,43428305,3
4080690080,4080688870,upstream_next_down_chain,213.7,5975.2,43428403,4
4080690310,4080688870,upstream_next_down_chain,765.5,765.5,43428402,5
4080690320,4080690720,upstream_next_down_chain,1319.7,1319.7,43428304,4
4080690330,4080689150,upstream_next_down_chain,14.8,45452.6,43428301,3
4080690450,4080689150,upstream_next_down_chain,47.3,6720.3,43428201,4
4080690720,4080690330,upstream_next_down_chain,69.3,43222.0,43428303,3
4080690790,4080690330,upstream_next_down_chain,2215.8,2215.8,43428302,4
4080690850,4080695240,upstream_next_down_chain,254.1,254.1,43496989,3
4080690870,4080699100,upstream_next_down_chain,926.7,926.7,43464060,4
4080690880,4080694430,upstream_next_down_chain,318.1,318.1,43428994,4
4080690930,4080695240,upstream_next_down_chain,118.3,118.4,43496988,4
4080690960,4080699100,upstream_next_down_chain,188.6,10514.9,43464070,3
4080690970,4080694430,upstream_next_down_chain,392.1,3239.9,43428995,3
4080691180,4080699890,upstream_next_down_chain,241.8,1625.4,43496295,3
4080691190,4080699890,upstream_next_down_chain,237.3,237.3,43496294,4
4080691530,4080689010,upstream_next_down_chain,871.8,13132.9,43428610,4
4080691810,4080689010,upstream_next_down_chain,566.8,16004.7,43428700,3
4080691920,4080690450,upstream_next_down_chain,179.6,6327.4,43428203,4
4080691930,4080690450,upstream_next_down_chain,345.5,345.7,43428202,5
4080692090,4080693890,upstream_next_down_chain,460.4,1130.5,43496267,4
4080692250,4080693490,upstream_next_down_chain,896.7,896.7,43428920,4
4080692340,4080693890,upstream_next_down_chain,175.8,175.8,43496266,5
4080692350,4080693040,upstream_next_down_chain,1091.4,29370.1,43494703,2
4080692420,4080693490,upstream_next_down_chain,484.1,12091.3,43428930,3
4080692470,4080693040,upstream_next_down_chain,2869.5,2869.5,43494702,3
4080692730,4080697680,upstream_next_down_chain,591.2,1285.3,43494587,3
4080692740,4080697680,upstream_next_down_chain,1221.3,1221.3,43494586,4
4080692830,4080689030,upstream_next_down_chain,721.8,1773.4,43427087,3
4080692950,4080689030,upstream_next_down_chain,334.8,334.8,43427086,4
4080692960,4080696170,upstream_next_down_chain,477.2,477.2,43430202,3
4080693040,4080694540,upstream_next_down_chain,24.0,32263.2,43494701,2
4080693050,4080694540,upstream_next_down_chain,1529.6,28249.3,43494610,3
4080693110,4080696170,upstream_next_down_chain,536.0,6490.7,43430203,2
4080693330,4080695810,upstream_next_down_chain,312.7,312.7,43428999,3
