grid_id,experimental_zone_id,centroid_x_m,centroid_y_m,water_area_m2
TH_G_215_3432,EXP_ZONE_03,215499.9999999997,3432500.0,1000000.0000004075
TH_G_215_3433,EXP_ZONE_03,215499.99999999997,3433500.0,999999.9999992433
TH_G_215_3434,EXP_ZONE_03,215499.99999999965,3434499.999999999,999999.999998894
TH_G_215_3435,EXP_ZONE_03,215499.99999999974,3435499.9999999986,1000000.000000291
TH_G_215_3436,EXP_ZONE_03,215500.00000000055,3436500.0,1000000.0000001746
TH_G_215_3437,EXP_ZONE_03,215500.00000000084,3437500.0,999999.9999993888
TH_G_215_3438,EXP_ZONE_03,215500.0000000003,3438500.0,999999.9999997381
TH_G_215_3439,EXP_ZONE_03,215499.99999999962,3439500.0000000005,1000000.0000007567
TH_G_215_3440,EXP_ZONE_03,215500.00000000026,3440499.9999999986,1000000.0000017462
TH_G_215_3441,EXP_ZONE_03,215500.00000000006,3441500.0,999999.9999995634
TH_G_215_3442,EXP_ZONE_03,215500.00000000006,3442500.0000000005,999999.9999979045
TH_G_215_3443,EXP_ZONE_03,215499.9999999998,3443500.0,999999.9999998836
TH_G_215_3444,EXP_ZONE_04,215499.99999999945,3444500.0,999999.9999998836
TH_G_215_3445,EXP_ZONE_04,215499.9999999998,3445500.0,1000000.0000002328
TH_G_215_3446,EXP_ZONE_04,215500.0,3446499.9999999995,999999.9999986321
TH_G_215_3447,EXP_ZONE_04,215500.00000000064,3447500.0,1000000.0000005239
TH_G_215_3448,EXP_ZONE_04,215500.00000000044,3448500.0,999999.9999981374
TH_G_215_3449,EXP_ZONE_04,215499.99999999983,3449499.9999999995,999999.9999998545
TH_G_215_3450,EXP_ZONE_04,215499.9999999995,3450499.9999999995,1000000.000000291
TH_G_215_3451,EXP_ZONE_04,215499.99999999942,3451499.9999999995,999999.9999995925
TH_G_215_3452,EXP_ZONE_04,215499.99999999945,3452500.0,999999.9999999418
TH_G_215_3453,EXP_ZONE_04,215499.99999999988,3453500.0000000005,999999.9999993597
TH_G_215_3454,EXP_ZONE_04,215500.00000000003,3454499.9999999995,999999.9999993888
TH_G_215_3455,EXP_ZONE_04,215500.00000000006,3455499.999999999,1000000.0000009022
TH_G_215_3456,EXP_ZONE_04,215499.99999999962,3456499.9999999995,1000000.0000021537
TH_G_215_3457,EXP_ZONE_04,215499.9999999999,3457500.0000000005,1000000.0000007567
TH_G_215_3458,EXP_ZONE_04,215499.99999999997,3458499.999999999,999999.999999709
TH_G_215_3459,EXP_ZONE_04,215500.0000000003,3459500.0,1000000.0000001746
TH_G_215_3460,EXP_ZONE_04,215499.99999999983,3460500.0,1000000.000000553
TH_G_215_3461,EXP_ZONE_04,215499.99999999936,3461500.0,1000000.0
TH_G_215_3462,EXP_ZONE_04,215500.0,3462500.0,999999.999999709
TH_G_215_3463,EXP_ZONE_04,215500.0000000001,3463500.0,999999.9999994761
TH_G_216_3424,EXP_ZONE_03,216500.0000000002,3424499.9999999995,999999.999998894
TH_G_216_3425,EXP_ZONE_03,216499.99999999988,3425499.9999999995,1000000.0000000291
TH_G_216_3426,EXP_ZONE_03,216499.9999999997,3426499.9999999995,1000000.0000001164
TH_G_216_3427,EXP_ZONE_03,216500.00000000023,3427500.0,999999.9999983411
TH_G_216_3428,EXP_ZONE_03,216500.00000000035,3428499.999999999,999999.9999997672
TH_G_216_3429,EXP_ZONE_03,216500.00000000012,3429500.0000000005,999999.9999998545
TH_G_216_3430,EXP_ZONE_03,216499.9999999999,3430500.0,999999.9999990978
